조사연도,본부,지사,노선,노선번호,행선,차로,시점이정,종점이정,포장형식,IRI,SD,HPCI,ASR등급
2019,부산경남,서울산,경부선,1,부산,2,1.3,1.4,JCP,2.08,0,3.67,0
2019,부산경남,서울산,경부선,1,부산,2,1.5,1.6,JCP,2.15,0.16,3.54,0
2019,부산경남,서울산,경부선,1,부산,2,1.6,1.7,JCP,2.47,0.13,3.45,0
2019,부산경남,서울산,경부선,1,부산,2,1.8,1.9,JCP,2.12,0.39,3.49,0
2019,부산경남,서울산,경부선,1,부산,2,2,2.1,JCP,2.35,0.33,3.34,0
2019,부산경남,서울산,경부선,1,부산,2,2.1,2.2,JCP,2.29,0.6,3.28,0
2019,부산경남,서울산,경부선,1,부산,2,2.5,2.6,JCP,1.33,0.2,3.94,0
2019,부산경남,서울산,경부선,1,부산,2,2.6,2.7,JCP,0.85,0.19,4.14,0
2019,부산경남,서울산,경부선,1,부산,2,2.7,2.8,JCP,2.07,0.15,3.62,0
2019,부산경남,서울산,경부선,1,부산,2,3,3.1,JCP,1.07,0.2,4.07,0
2019,부산경남,서울산,경부선,1,부산,2,3.1,3.2,JCP,1.19,0.2,4.03,0
2019,부산경남,서울산,경부선,1,부산,2,3.2,3.3,JCP,1.41,2.11,3.63,0
2019,부산경남,서울산,경부선,1,부산,2,3.5,3.6,JCP,2.56,0.31,3.33,0
2019,부산경남,서울산,경부선,1,부산,2,3.6,3.7,JCP,2.76,0,3.38,0
2019,부산경남,서울산,경부선,1,부산,2,3.7,3.8,JCP,2.55,0,3.47,0
2019,부산경남,서울산,경부선,1,부산,2,4,4.1,JCP,2.12,0,3.66,0
2019,부산경남,서울산,경부선,1,부산,2,4.2,4.3,JCP,3.27,0,3.19,0
2019,부산경남,서울산,경부선,1,부산,2,4.3,4.4,JCP,2.76,0,3.39,0
2019,부산경남,서울산,경부선,1,부산,2,4.5,4.6,JCP,1.03,0.34,4.01,0
2019,부산경남,서울산,경부선,1,부산,2,4.7,4.8,JCP,1.39,0.19,3.89,0
2019,부산경남,서울산,경부선,1,부산,2,4.9,5,JCP,1.91,0.49,3.56,0
2019,부산경남,서울산,경부선,1,부산,2,5,5.1,JCP,1.57,0.58,3.67,0
2019,부산경남,서울산,경부선,1,부산,2,5.1,5.2,JCP,1.24,0.79,3.73,0
