조사연도,노선명,시점이정,종점이정,개통연도,차로,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
2019,경부선,0,5.1,1969,6,58838,2396,8020,3812,2218,841,308,403,4,900,2,115
2019,경부선,5.1,5.6,1969,6,58607,2414,7911,3786,2279,848,317,399,4,881,2,105
2019,경부선,5.6,17.4,1969,6,60743,2486,8291,4085,2376,906,341,430,4,943,2,116
2019,경부선,17.4,17.9,1969,8,58449,1641,8227,6537,2997,1644,994,630,27,1598,18,434
2019,경부선,17.9,30.7,1969,6,45423,2133,8396,3746,4220,2310,3275,20,12,3877,8,1071
2019,경부선,30.7,32.1,1969,6,38003,1951,6924,3551,3975,1593,3409,9,31,4027,2,896
2019,경부선,32.1,38.5,1969,6,37152,1895,6855,3553,3988,1595,3422,9,31,4026,2,892
2019,경부선,38.5,40.1,1969,6,35657,1990,8077,2132,4432,519,2250,1,7,2537,40,707
2019,경부선,40.1,57.3,1969,4,24624,2064,5047,3072,3851,2022,3474,14,0,3278,112,542
2019,경부선,57.3,68.3,1969,4,22126,1903,4168,2672,4500,376,3043,13,0,2412,62,469
2019,경부선,68.3,78.7,1969,4,24571,1782,4930,2668,4497,1281,3430,56,30,2558,88,280
2019,경부선,78.7,90.8,1969,4,26950,1780,5496,2651,6056,412,3025,65,1,2538,59,408
2019,경부선,90.8,96.4,1969,4,16104,880,3226,2100,1765,524,1511,10,3,926,203,75
2019,경부선,96.4,112.8,1969,6,24656,1355,5063,3164,2698,800,2248,19,5,1371,315,118
2019,경부선,112.8,122.1,1969,8,41140,2282,8488,5276,4496,1365,3764,31,10,2345,525,203
2019,경부선,122.1,126.2,1970,8,74051,2826,10850,7909,4540,1914,1039,907,2,1293,35,318
2019,경부선,126.2,133.9,1970,8,91361,1537,14202,9195,5253,2664,1847,478,31,1712,35,497
2019,경부선,133.9,139.4,1970,8,99949,2168,14939,8379,6532,2758,1803,428,12,1469,17,513
2019,경부선,139.4,150.1,1970,8,77068,2220,10238,5591,3499,1294,1003,372,2,1135,27,604
2019,경부선,150.1,153.3,1970,8,69222,2775,10504,9279,6354,2488,2370,517,16,1770,40,642
2019,경부선,153.3,167.3,1970,8,54759,1935,4305,12820,5480,1994,1952,350,14,1471,33,562
2019,경부선,167.3,172.3,1970,8,50029,2145,5785,7226,5333,2019,2267,348,21,1279,29,557
2019,경부선,172.3,183.2,1970,8,44926,1926,5205,6465,4715,1793,2007,306,21,1126,28,498
2019,경부선,183.2,192.3,1970,6,23362,1124,3508,2234,2468,787,1352,277,16,1486,21,480
2019,경부선,192.3,200.3,1970,6,22432,1092,3250,2030,2292,717,1285,246,15,1345,20,472
2019,경부선,200.3,212.3,1970,6,25873,1266,3744,2285,2544,807,1436,270,16,1513,22,545
2019,경부선,212.3,222.4,1970,6,23853,1169,3519,2429,2877,880,1621,286,15,1642,24,561
2019,경부선,222.4,232.3,1970,6,23101,1125,3394,2178,2428,771,1353,270,15,1441,22,507
2019,경부선,232.3,248.3,1970,6,23751,1154,3454,2169,2403,770,1342,262,15,1416,23,495
2019,경부선,248.3,259.7,1970,4,24827,1239,3576,2302,2593,838,1471,282,15,1536,22,556
2019,경부선,259.7,268.4,1970,6,30205,1185,3848,2806,3270,818,1411,361,11,1546,28,539
2019,경부선,268.4,271.9,1970,6,56500,3391,5975,3798,4754,1485,2967,301,10,1022,27,642
2019,경부선,271.9,277.9,1969,6,73164,4507,5819,3314,3150,949,1537,279,12,1251,41,462
2019,경부선,277.9,282,1969,8,70894,3682,11565,3090,7716,1593,4480,49,3,2942,222,448
2019,경부선,282,293.1,1969,8,81899,4247,13344,3581,9012,1834,5224,56,3,3427,248,514
2019,경부선,293.1,296.6,1969,8,76909,3971,12542,3398,8417,1738,4933,56,3,3285,240,478
2019,경부선,296.6,300.5,1969,10,89029,5972,14156,10226,9788,2631,4347,981,71,4632,116,1543
2019,경부선,300.5,305.1,1969,6,47698,3237,7666,5776,5784,1526,2574,562,38,2721,59,908
2019,경부선,305.1,308.7,1969,6,56990,4823,7854,6251,5245,1236,1816,478,31,1868,61,544
2019,경부선,308.7,316,1969,6,53933,4690,9306,7666,6846,1510,2442,609,48,2540,88,775
2019,경부선,316,329.9,1969,6,50612,4358,8747,7204,6403,1428,2373,569,48,2400,90,732
2019,경부선,329.9,333.4,1969,6,49948,4319,8647,7277,6491,1436,2377,563,51,2404,90,742
2019,경부선,333.4,340.1,1969,8,100249,8850,12421,5605,11493,5906,3394,55,0,2784,127,959
2019,경부선,340.1,348.4,1969,8,118372,8825,16729,4673,7374,7536,4969,4,1,3096,78,340
2019,경부선,348.4,360.1,1969,8,116294,8923,16501,4479,7214,6856,4513,4,1,3004,75,344
2019,경부선,360.1,364.9,1969,8,111575,8446,15813,4348,6875,6911,4540,3,1,2900,71,313
2019,경부선,364.9,378.2,1969,8,128305,7341,14407,6614,4781,1149,744,225,12,622,14,167
2019,경부선,378.2,382.1,1968,8,139386,10790,17115,10704,7272,1797,1515,326,57,1260,197,457
2019,경부선,382.1,387.2,1968,8,116052,11206,15435,6783,7891,669,1543,37,3,1278,49,290
2019,경부선,387.2,392.3,1968,8,165212,15082,21932,6755,8074,830,1472,44,0,1184,118,145
2019,경부선,392.3,395,1968,10,153819,16872,15680,5422,5799,753,969,28,1,706,67,73
2019,경부선,395,408,1968,8,156646,17828,15880,5523,5572,742,941,27,2,694,70,83
2019,경부선,408,409.4,1968,8,131883,17426,9281,3899,2458,532,368,3,2,193,4,11
2019,경부선,409.4,416.1,1968,10,146696,17528,11254,4071,2537,344,347,16,2,169,20,27
2019,남해선A,0,3.8,1973,4,16427,1675,2035,1099,1734,1635,1224,626,32,1617,11,457
2019,남해선A,3.8,6,1973,4,12339,1269,1560,846,1361,1225,922,506,26,1169,9,339
2019,남해선A,6,12.6,1973,4,14264,1448,1753,948,1516,1404,1071,522,28,1422,9,393
2019,남해선A,12.6,17.7,1973,4,19583,2021,2390,1332,2193,1955,1575,725,36,2076,12,579
2019,남해선A,17.7,24.2,1973,4,16672,1709,2068,1124,1815,1680,1285,633,33,1703,11,476
2019,남해선A,24.2,28.6,1973,4,17804,1839,2176,1207,1951,1785,1427,663,34,1869,12,523
2019,남해선A,28.6,35.6,1973,4,18662,1932,2328,1274,2062,1898,1478,740,38,1878,12,539
2019,남해선A,35.6,45.7,1973,4,24837,1580,2606,1146,1652,1522,1092,612,35,1383,6,348
2019,남해선A,45.7,52.1,1973,4,25458,2625,3193,1754,2803,2565,1960,1046,50,2481,12,716
2019,남해선A,52.1,60.1,1973,4,23350,2413,2957,1613,2588,2356,1774,994,45,2245,12,650
2019,남해선A,60.1,66,1973,4,27502,2844,3473,1902,3054,2772,2093,1179,55,2646,13,771
2019,남해선A,66,68.5,1973,6,35771,3727,4884,2517,4215,3813,2556,1779,84,3215,19,966
2019,남해선A,68.5,71.7,1973,8,39343,1117,10635,3011,3212,2257,2145,873,55,1213,11,764
2019,남해선A,71.7,75.7,1973,8,37745,1275,9259,2290,3117,2398,2472,546,38,1139,6,929
2019,남해선A,75.7,82.6,1973,8,44651,1325,10821,3225,3196,2232,2267,801,50,1442,10,836
2019,남해선A,82.6,88.6,1973,8,47792,1573,11585,2899,4166,3109,3151,759,48,1428,7,1262
2019,남해선A,88.6,97.8,1973,8,41526,1381,12785,3280,3869,2909,3408,809,50,1372,8,860
2019,남해선A,97.8,100.6,1973,8,46519,1382,11258,3299,3227,2268,2250,832,51,1456,10,831
2019,남해선A,100.6,104.2,1973,8,55568,1641,13575,3948,3870,2734,2674,998,61,1719,11,976
2019,남해선A,104.2,112.9,1973,8,45650,1349,10675,3102,3044,2098,2073,782,49,1391,10,784
2019,남해선A,112.9,116,2001,4,25073,939,6828,3112,4418,1853,2967,33,3,5264,50,2065
2019,남해선A,116,124.8,2001,4,35195,1328,9608,4477,6221,2687,4122,53,4,7252,68,2855
2019,남해선A,124.8,128.4,2001,4,32641,713,6209,6219,5866,3157,3172,1663,58,4610,27,1613
2019,남해선A,128.4,133.4,1973,8,75936,2132,10026,6418,4337,2532,2147,1330,52,3366,22,1228
2019,남해선A,133.4,135.7,1973,8,61089,2262,11346,6927,5108,2877,2623,1542,52,4091,21,1537
2019,남해선A,135.7,139.7,1973,8,64360,2433,10431,6667,4422,2143,1882,1463,44,3370,19,1085
2019,남해선A,139.7,144.2,1973,8,63266,2389,10225,6317,4218,2069,1772,1500,45,3282,19,1041
2019,남해선A,144.2,146.7,1973,8,60963,2077,11858,6538,3405,1748,1411,883,37,2115,10,651
2019,남해선A,146.7,151.5,1973,6,44065,1359,9786,4840,2011,1036,770,294,18,904,3,258
