순위,예측연도,본부,지사,종점지사,행선,노선,차선,시점,종점,연장,평균RMI,9이상 비율
1,2021,충북,진천,진천,통영,통영대전중부선,2,247.4,254.5,7.1,9.064897216,0.666666667
2,2021,수도권,동서울,동서울,기점,수도권제1순환선,2,17.1,28.6,11.5,8.307353581,0.52173913
3,2021,충북,진천,진천,통영,통영대전중부선,2,284.7,321.4,36.7,8.681066725,0.450643777
4,2021,충북,제천,제천,춘천,중앙선,2,253.4,256.6,3.2,7.465317771,0.416666667
5,2021,충북,진천,진천,통영,통영대전중부선,2,278,281.3,3.3,8.650025359,0.4
6,2021,충북,진천,진천,통영,통영대전중부선,2,258.4,263.7,5.3,8.152552541,0.368421053
7,2021,전북,진안,진안,포항,새만금포항선,2,24.5,27.6,3.1,7.345195818,0.363636364
8,2021,수도권,군포,군포,강릉,영동선,2,10.4,15,4.6,7.603118745,0.3125
9,2021,대구경북,대구,구미,서울,경부선,2,138.1,141.1,3,7.063375775,0.25
10,2021,충북,진천,진천,서울,통영대전중부선,2,287.7,323,35.3,7.607983898,0.239316239
11,2021,수도권,동서울,동서울,종점,수도권제1순환선,2,19.6,28.6,9,7.620011606,0.227272727
12,2021,대전충남,영동,영동,부산,경부선,2,254.5,258.4,3.9,7.480832334,0.227272727
13,2021,충북,진천,진천,서울,통영대전중부선,2,256.9,273.1,16.2,7.528923867,0.219298246
14,2021,수도권,인천,시흥,종점,수도권제1순환선,2,91.2,94.8,3.6,7.151021243,0.214285714
15,2021,전북,보령,보령,목포,서해안선,2,217.4,220.4,3,7.102465753,0.176470588
16,2021,대전충남,당진,당진,서울,서해안선,2,281.4,284.4,3,7.036628841,0.173913043
17,2021,수도권,군포,군포,인천,영동선,2,10.4,17.1,6.7,7.360194345,0.171428571
18,2021,충북,제천,제천,춘천,중앙선,2,298.8,301.9,3.1,7.130348531,0.166666667
19,2021,부산경남,진주,진주,부산,남해선,2,47.2,52.7,5.5,7.052524668,0.15625
20,2021,전북,무주,무주,서울,통영대전중부선,2,160.4,165.8,5.4,7.113905493,0.148148148
21,2021,수도권,군포,군포,강릉,영동선,2,17.3,33.3,16,7.336664814,0.145631068
22,2021,부산경남,진주,진주,영암,남해선,2,46.7,51.8,5.1,7.169054779,0.129032258
23,2021,수도권,군포,군포,인천,영동선,2,19.6,35.3,15.7,7.007326468,0.128205128
24,2021,충북,진천,진천,서울,통영대전중부선,2,247.4,250.4,3,7.859763981,0.125
25,2021,충북,제천,홍천,춘천,중앙선,2,313,319.2,6.2,7.298039179,0.121212121
26,2021,충북,진천,진천,통영,통영대전중부선,2,267.8,273.1,5.3,7.149488762,0.114285714
27,2021,대구경북,영주,영주,춘천,중앙선,2,189.6,195.2,5.6,7.126869962,0.111111111
28,2021,강원,홍천,홍천,부산,중앙선,2,360.3,369,8.7,7.113635077,0.1
29,2021,강원,이천,이천,인천,영동선,2,68.3,73.9,5.6,7.320201735,0.095238095
30,2021,전북,보령,보령,목포,서해안선,2,209.1,212.1,3,7.240294202,0.090909091
31,2021,강원,홍천,홍천,부산,중앙선,2,330.6,336.9,6.3,7.000175573,0.086956522
32,2021,수도권,인천,인천,기점,수도권제1순환선,2,91.2,94.6,3.4,7.23772215,0.083333333
33,2021,강원,이천,이천,인천,영동선,2,82.3,86.9,4.6,7.040232392,0.08
34,2021,강원,홍천,홍천,춘천,중앙선,2,360.7,368.8,8.1,7.188070417,0.075
35,2021,부산경남,산청,산청,통영,통영대전중부선,2,99.7,106.4,6.7,7.065232231,0.058823529
36,2021,수도권,화성,화성,제천,평택제천선,2,22,25.4,3.4,7.101816585,0.05
37,2021,전북,진안,진안,포항,새만금포항선,2,47.1,51.2,4.1,7.172219059,0.047619048
38,2021,충북,상주,상주,내서,중부내륙선,2,179.9,184.1,4.2,7.087104155,0.045454545
39,2021,부산경남,진주,진주,부산,남해선,2,42.7,45.7,3,7.398408848,0
40,2021,강원,이천,이천,강릉,영동선,2,71.3,74.3,3,7.071836583,0
